2026-02-05T09:12:50.3432154Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Processing started
2026-02-05T09:12:50.3838455Z | Correlation=5f259eda313c435ca23260dcb938ac34 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=25 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:34:59.8669211Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:35:01.9442112Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Processing started
2026-02-05T09:35:26.4307460Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T09:38:06.1824402Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:38:06.2055116Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Processing started
2026-02-05T09:38:25.3802920Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T10:00:41.2858615Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message received
2026-02-05T10:00:41.6516493Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Processing started
2026-02-05T10:01:58.2002218Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T10:04:10.0317309Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message received
2026-02-05T10:04:10.0568041Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Processing started
2026-02-05T10:04:18.0890989Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message processed successfully
2026-02-05T12:18:25.2777382Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=NotificationConsumerWorker | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T12:18:26.6861606Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Processing started
2026-02-05T12:18:46.4736647Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=NotificationConsumerWorker | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message processed successfully
