2026-02-06T06:47:53.7303939Z | Correlation=3a0e903b93a34e9cb463ea7f1466fc03 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:47:53.7556697Z | Correlation=3a0e903b93a34e9cb463ea7f1466fc03 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=12 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:48:00.2446483Z | Correlation=69278b28bb7f419e939612ed6d1b8f42 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:48:00.2604464Z | Correlation=69278b28bb7f419e939612ed6d1b8f42 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:48:00.2660729Z | Correlation=50c5d26a187e4c29a348d41f0ee29f86 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:48:00.2860489Z | Correlation=50c5d26a187e4c29a348d41f0ee29f86 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev002.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:48:00.2909589Z | Correlation=89b0e9ed241341fd8bab9cf3e680da80 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:48:00.3065585Z | Correlation=89b0e9ed241341fd8bab9cf3e680da80 | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=13 | Status=SUCCESS | Message=Telemetry processed successfully
2026-02-06T06:48:04.8252495Z | Correlation=72100ca7a7a84566a2b0d57e9be5826b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Telemetry message received
2026-02-06T06:48:04.8595755Z | Correlation=72100ca7a7a84566a2b0d57e9be5826b | Tenant=1 | Service=KafkaTelemetryConsumer | Stage=PROCESSED | Topic=factoryops.1.devices.TEST001.telemetry | Partition=0 | Offset=14 | Status=SUCCESS | Message=Telemetry processed successfully
