2026-02-05T09:35:19.3330483Z | Correlation=6cbc47ee-35d7-4961-b4d5-c2898d38e28c | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T09:38:06.1616667Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Kafka message received
2026-02-05T09:38:06.1743660Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Audit processing started
2026-02-05T09:38:08.6489688Z | Correlation=2e038e9b-39f0-4c49-90e0-fa91812e5b84 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=1 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T10:00:41.2828062Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Kafka message received
2026-02-05T10:00:41.3087919Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Audit processing started
2026-02-05T10:01:48.9770650Z | Correlation=67f46060-10f3-4be6-a8e4-2a22201d6c89 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=2 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T10:04:10.0329861Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Kafka message received
2026-02-05T10:04:10.0396754Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Audit processing started
2026-02-05T10:04:12.6510936Z | Correlation=75cc67c4-4b88-4834-9146-e47938d055f1 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=3 | Status=SUCCESS | Message=Audit stored successfully
2026-02-05T12:18:26.3521785Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=KafkaAuditConsumer | Stage=CONSUME_RECEIVED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Kafka message received
2026-02-05T12:18:26.3667273Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSING_STARTED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit processing started
2026-02-05T12:18:37.0459035Z | Correlation=f76b0150-8de7-4cf1-8828-35d521867a28 | Tenant=1 | Service=KafkaAuditConsumer | Stage=PROCESSED | Topic=factoryops.deleteworkorderasync.1.deleted | Partition=0 | Offset=0 | Status=SUCCESS | Message=Audit stored successfully
