2026-02-16T11:14:50.0021810Z | Correlation=9dece32670804329895f1b3208393d9a | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=887 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:55.5172631Z | Correlation=1d76b03b9e2d444ca7178f31ef7b9aff | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:55.5574978Z | Correlation=1d76b03b9e2d444ca7178f31ef7b9aff | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=888 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:14:59.6402940Z | Correlation=7f882ed835e0410dbc3c212526e89b1f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:14:59.6923296Z | Correlation=7f882ed835e0410dbc3c212526e89b1f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=889 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:04.3651441Z | Correlation=99556f32e705451cab00bf06682fa49c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:04.4053926Z | Correlation=99556f32e705451cab00bf06682fa49c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=890 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:15.2763309Z | Correlation=6d8db4f78c66482f8ab3711069966b3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
2026-02-16T11:15:15.3119449Z | Correlation=6d8db4f78c66482f8ab3711069966b3c | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=0 | Offset=891 | Status=SUCCESS | Message=Kafka message delivered
2026-02-16T11:15:24.4063443Z | Correlation=b6fbc52184c94f7c9a763deb42c33a0f | Tenant=1 | Service=KafkaProducerService | Stage=PRODUCE_REQUESTED | Topic=factoryops.1.devices.Dev001.telemetry | Partition=N/A | Offset=N/A | Status=SUCCESS | Message=Kafka produce requested
